"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","登录功能","5","0","登录失败","0"
"0","","0","购物车功能","5","0","添加商品","0"
"0","","0","购物车功能","2","0","移除商品","0"
"0","","0","购物车功能","5","0","结账流程","0"
"0","","0","购物车功能","1","0","继续购物","0"
"0","","0","登录功能","3","0","多用户登录","0"
"0","","0","登录功能","1","0","关闭错误提示","0"
"0","","0","登录功能","1","0","正常登录","0"
"0","","0","购物车功能","1","0","购物车查看","0"
